/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_doallocate, 0x7f399864fb90, 102, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_open, 0x7f399865d110, 99, 3
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_fflush, 0x7f39986501b0, 96, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, fdopen, 0x7f399864fed0, 86, 1
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, myMalloc, 0x403e4f, 84, 6
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, BZ2_bzWriteOpen, 0x407bfa, 81, 1
/lib/x86_64-linux-gnu/libgomp.so.1, 0x7f399891d000, .plt.sec, 0x7f39989276d0, 76, 26
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __uflow, 0x7f399865eac0, 75, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_do_write, 0x7f399865d9b0, 74, 3
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, bsFinishWrite, 0x40c8ce, 70, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_fwrite, 0x7f3998650fa0, 70, 1
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, strcmp@plt, 0x4011c0, 69, 67
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, BZ2_bzCompressEnd, 0x405e91, 68, 1
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, bsPutUInt32, 0x40ca25, 68, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_xsputn, 0x7f399865c680, 66, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_default_finish, 0x7f399865f7b0, 64, 4
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, default_bzalloc, 0x404f13, 60, 4
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, opendir, 0x7f39986b72f0, 52, 1
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, .plt, 0x401050, 52, 26
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_finish, 0x7f399865d070, 52, 4
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_doallocbuf, 0x7f399865ed10, 52, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_getc, 0x7f3998658a40, 51, 3
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_overflow, 0x7f399865de40, 51, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_switch_to_get_mode, 0x7f399865e7a0, 50, 2
/lib/x86_64-linux-gnu/libgomp.so.1, 0x7f399891d000, .plt, 0x7f3998927020, 50, 10
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, myfeof, 0x40168e, 50, 3
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, bsd_signal, 0x7f3998613420, 50, 5
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, strtoumax, 0x7f3998618520, 50, 10
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __sched_cpucount, 0x7f39986e4ac0, 49, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __sbrk, 0x7f39986eba10, 49, 2
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, default_bzfree, 0x404f40, 48, 4
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_default_xsputn, 0x7f399865ee40, 47, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_default_uflow, 0x7f399865ede0, 46, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, sysconf, 0x7f39986be2f0, 46, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __pthread_mutex_lock, 0x7f3998668f70, 43, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_sync, 0x7f399865b4b0, 43, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __pthread_key_create, 0x7f3998667750, 43, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __sigaction, 0x7f39986134d0, 40, 5
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __libc_start_main, 0x7f39985fadc0, 40, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_unsave_markers, 0x7f39986602b0, 40, 4
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, fileExists, 0x402875, 40, 2
/home/assaf/Repos/BinTransAndOpt/HW1/bzip2, 0x400000, mkCell, 0x403e7d, 39, 3
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __cxa_atexit, 0x7f39986168c0, 39, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_sputbackc, 0x7f399865f830, 38, 2
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, __underflow, 0x7f399865e8f0, 38, 1
/lib/x86_64-linux-gnu/libc.so.6, 0x7f39985d1000, _IO_file_write, 0x7f399865bf40, 37, 1
