0x40ec7c,36140,7228,5,0,sendMTFValues,0x40ceee,1479734,1
0x409fde,30163,7,4309,0,fallbackSort,0x409c33,2547275,1
0x40a2cb,15864,1383,11.4707,991,fallbackSort,0x409c33,2547275,1
0x4097a7,14716,0,inf,0,fallbackQSort3,0x4095ec,1288846,1383
0x40cd45,13348,1033,12.9216,898,generateMTFValues,0x40cb2c,266623,1
0x4181dd,11553,1580,7.31203,571,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x409881,8753,0,inf,0,fallbackQSort3,0x4095ec,1288846,1383
0x41034b,7228,148,48.8378,7,sendMTFValues,0x40ceee,1479734,1
0x40ec59,7228,148,48.8378,7,sendMTFValues,0x40ceee,1479734,1
0x40a18b,7153,327,21.8746,319,fallbackSort,0x409c33,2547275,1
0x417f0c,6146,0,inf,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x417fea,5893,0,inf,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x40567e,5106,0,inf,0,copy_input_until_stop,0x40565c,384560,3
0x409513,4656,1744,2.66972,1227,fallbackSimpleSort,0x4093f0,424864,1847
0x40a098,4427,195,22.7026,184,fallbackSort,0x409c33,2547275,1
0x40cc08,4309,1,4309,0,generateMTFValues,0x40cb2c,266623,1
0x40a3e9,4309,1,4309,0,fallbackSort,0x409c33,2547275,1
0x409cc2,4309,1,4309,0,fallbackSort,0x409c33,2547275,1
0x409d70,4309,1,4309,0,fallbackSort,0x409c33,2547275,1
0x40a22e,3104,327,9.49235,309,fallbackSort,0x409c33,2547275,1
0x409550,2888,3933,0.7343,2023,fallbackSimpleSort,0x4093f0,424864,1847
0x40964d,2645,1383,1.91251,436,fallbackQSort3,0x4095ec,1288846,1383
0x4182c2,2528,32,79,0,BZ2_hbAssignCodes,0x418294,33896,5
0x4053a3,2024,376,5.38298,304,add_pair_to_block,0x405388,67179,376
0x41202a,1807,37,48.8378,1,sendMTFValues,0x40ceee,1479734,1
0x409ad8,1767,631,2.80032,372,fallbackQSort3,0x4095ec,1288846,1383
0x40a139,1662,195,8.52308,174,fallbackSort,0x409c33,2547275,1
0x409a20,1616,631,2.56101,384,fallbackQSort3,0x4095ec,1288846,1383
0x417e55,1589,1580,1.0057,1013,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x7fd88c662140,1582,137,11.5474,118,_dl_rtld_di_serinfo,0x7fd88c660f60,0,0
0x417d82,1580,20,79,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x40d289,1580,20,79,0,sendMTFValues,0x40ceee,1479734,1
0x417e1b,1580,20,79,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x4181ce,1580,20,79,0,BZ2_hbMakeCodeLengths,0x417d54,960949,20
