0x7f9474066780, 314, 129, 2.43411, 84, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x4107aa, 272, 16, 17, 0, sendMTFValues, 0x40ceee, 1479734
0x409c9c, 258, 1, 258, 0, fallbackSort, 0x409c33, 2547275
0x40cade, 257, 1, 257, 0, makeMaps_e, 0x40cac2, 3239
0x409e24, 257, 1, 257, 0, fallbackSort, 0x409c33, 2547275
0x409d31, 257, 1, 257, 0, fallbackSort, 0x409c33, 2547275
0x409d03, 257, 1, 257, 0, fallbackSort, 0x409c33, 2547275
0x404fa5, 257, 1, 257, 0, prepare_new_block, 0x404f65, 1814
0x7f9474066630, 212, 4, 53, 3, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f947406c008, 201, 40, 5.025, 1, _dl_mcount, 0x7f947406b7b0, 36529
0x7f9474066362, 199, 0, 5.025, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474066273, 199, 199, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474066273, 199, 199, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474070f91, 156, 0, 1, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x40d405, 148, 0, 1, 18446744073709551615, sendMTFValues, 0x40ceee, 1479734
0x7f947407c360, 142, 1, 142, 0, _dl_catch_error, 0x7f94740783f0, 26276
0x7f94740671d0, 137, 130, 1.05385, 7, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x409df2, 137, 1, 137, 0, fallbackSort, 0x409c33, 2547275
0x410878, 136, 8, 17, 0, sendMTFValues, 0x40ceee, 1479734
0x7f947406650b, 135, 132, 1.02273, 5, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f947406650b, 130, 130, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f94740665c5, 129, 0, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f947406650b, 129, 105, 1.22857, 24, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9460231af0, 127, 1, 127, 0, timer_settime, 0x7f9460230ab0, 1144
0x7f94740666b0, 126, 0, 127, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f94740662ff, 125, 0, 127, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f9474071644, 116, 0, 127, 18446744073709551615, _dl_deallocate_tls, 0x7f947406fa70, 31306
0x7f947406c3a8, 114, 5, 22.8, 4, _dl_mcount, 0x7f947406b7b0, 36529
0x7f947406650b, 114, 114, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f947406650b, 107, 0, 1, 18446744073709551615, _dl_rtld_di_serinfo, 0x7f9474065f60, 107138
0x7f947406c51a, 105, 0, 1, 18446744073709551615, _dl_mcount, 0x7f947406b7b0, 36529
0x7f947405ea30, 101, 97, 1.04124, 5, _dl_debug_state, 0x7f947405e300, 1796
