0x4010380x401038,0x40133c,0x401041,4b,
0x4013100x401310,0x4011b0,0x401339,4b,
0x4013600x401360,0x401377,0x401375,13f,
0x4013900x401390,0x4013b7,0x4013b5,145,
0x4016ce0x4016ce,0x4010f0,0x4016fe,4b,
0x4027f10x4027f1,0x401150,0x40280d,4b,
0x4028750x402875,0x401290,0x402892,4b,
0x4028ba0x4028ba,0x401280,0x4028e5,4b,
0x4029c30x4029c3,0x418610,0x4029e0,4b,
0x402a740x402a74,0xffffffffffffffff,0x402a83,2e4,
0x402b730x402b73,0x402bab,0x402b96,145,
0x403e4f0x403e4f,0x401220,0x403e67,4b,
0x403eb00x403eb0,0x403f09,0x403ec7,145,
0x403f510x403f51,0x401060,0x403f6d,4b,
0x404f080x404f08,0xffffffffffffffff,0x404f13,2e4,
0x404f130x404f13,0x401220,0x404f36,4b,
0x404f400x404f40,0x404f63,0x404f57,14a,
0x404f650x404f65,0x404fba,0x404fa5,13c,
0x404fdc0x404fdc,0xffffffffffffffff,0x404ffc,2e4,
0x404ffc0x404ffc,0x405024,0x405012,13f,
0x4053880x405388,0x4053e0,0x4053a3,13c,
0x4056280x405628,0x40564e,0x405642,13f,
0x4059f20x4059f2,0x405a01,0x405a00,13c,
0x405ac70x405ac7,0x405aea,0x405ae9,13c,
0x405c640x405c64,0x405c84,0x405c7a,145,
0x407bfa0x407bfa,0x407c2d,0x407c23,14a,
0x4081270x408127,0x408184,0x408155,145,
0x409c330x409c33,0x409c93,0x409c75,13b,
0x40c6790x40c679,0x40c6fd,0x40c6d3,141,
0x40c8a80x40c8a8,0xffffffffffffffff,0x40c8ce,2e4,
0x40c8ce0x40c8ce,0x40c93c,0x40c8d8,13c,
0x40c94c0x40c94c,0x40c9c1,0x40c95d,13c,
0x40ca250x40ca25,0x40c94c,0x40ca4d,4b,
0x40ca9a0x40ca9a,0x40c94c,0x40cac0,4b,
0x40cac20x40cac2,0x40cb21,0x40cade,13c,
0x40cb2c0x40cb2c,0x40cac2,0x40cb81,4b,
0x40ceee0x40ceee,0x40cf65,0x40cf28,13b,
0x41216d0x41216d,0x412256,0x41218d,13b,
0x4186300x418630,0x418640,0x41863a,4b,
